Product,Price,Review,Comments,Category,Image,Size Pe. [%],Size Corr. [%],Size Gran. [%],XS,S,M,L,XL,Link
Vaqueros boyfriend rotos con lavado ligero,US$22.00,5.0,Todos los comentarios (9999+),Pantalones Vaqueros para Mujer,//img.ltwebstatic.com/images3_pi/2021/06/23/1624429948584fa5198957a07edc0a6317e3fd8012_thumbnail_900x.webp,Pequeña  7%,La talla corresponde  89%,Grande  4%,xsTodos los comentarios (2391),sTodos los comentarios (2351),mTodos los comentarios (2096),lTodos los comentarios (1475),xlTodos los comentarios (1491),https://us.shein.com//Light-Wash-Destroyed-Ripped-Boyfriend-Jeans-p-2817182-cat-1934.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
4 piezas top tank corto unicolor,US$19.00,5.0,Todos los comentarios (9999+),Camisetas y Tops de Tirantes de Mujer,//img.ltwebstatic.com/images3_pi/2021/05/17/1621253852626bc4a7c8eda34b38bd902bc03cb6e7_thumbnail_900x.webp,Pequeña  2%,La talla corresponde  96%,Grande  2%,xsTodos los comentarios (1262),sTodos los comentarios (4098),mTodos los comentarios (2752),lTodos los comentarios (1263),xlTodos los comentarios (571),https://us.shein.com//4pack-Solid-Crop-Tank-Top-p-2663872-cat-1779.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
Top de tirantes con corchete con encaje,US$11.00,4.5,Todos los comentarios (121),Camisetas y Tops de Tirantes de Mujer,//img.ltwebstatic.com/images3_pi/2021/07/22/1626944054f6b2f76426c033a388c1255e352fdd5d_thumbnail_900x.webp,Pequeña  19%,La talla corresponde  80%,Grande  1%,xsTodos los comentarios (46),sTodos los comentarios (41),mTodos los comentarios (21),lTodos los comentarios (14),0,https://us.shein.com//Hook-And-Eye-Lace-Cami-Top-p-2922458-cat-1779.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
Sobrecamisa con botón delantero con estampado de cuadros,US$17.00,5.0,Todos los comentarios (9999+),Blusas de Mujer,//img.ltwebstatic.com/images3_pi/2020/12/12/160774820340dc0186256ba41e555f2f20d32841c1_thumbnail_900x.webp,Pequeña  1%,La talla corresponde  92%,Grande  7%,0,sTodos los comentarios (3652),mTodos los comentarios (3215),lTodos los comentarios (1976),xlTodos los comentarios (912),https://us.shein.com//Plaid-Print-Button-Front-Overshirt-p-1959195-cat-1733.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
Apperloth A Pantalones ajustados PU de cintura alta,US$19.00,4.8,Todos los comentarios (7183),Pantalones de Mujer,//img.ltwebstatic.com/images3_pi/2020/12/17/1608202291cf9685b30f9f9f872a745e80d4af5826_thumbnail_900x.webp,Pequeña  3%,La talla corresponde  89%,Grande  8%,xsTodos los comentarios (1379),sTodos los comentarios (1957),mTodos los comentarios (1868),lTodos los comentarios (1148),xlTodos los comentarios (571),https://us.shein.com//Apperloth-A-High-Waist-Thermal-Lined-PU-Leather-Skinny-Cropped-Pants-p-1982177-cat-1740.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
Cazadora con estampado de cuadros de hombros caídos,US$20.00,4.7,Todos los comentarios (339),Cazadoras para Mujer,//img.ltwebstatic.com/images3_pi/2021/08/16/1629091904efd5a8eb96e770d17aec77a5678a1c63_thumbnail_900x.webp,Pequeña  7%,La talla corresponde  92%,Grande  1%,xsTodos los comentarios (40),sTodos los comentarios (114),mTodos los comentarios (108),lTodos los comentarios (88),0,https://us.shein.com//Plaid-Print-Drop-Shoulder-Jacket-p-3121526-cat-1776.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
Camiseta amplia de hombros caídos de tie dye,US$8.00,4.8,Todos los comentarios (3904),Camisetas de Mujer,//img.ltwebstatic.com/images3_pi/2021/05/24/16218292930871e11f9d1f385ec9bd6f79ade18512_thumbnail_900x.webp,Pequeña  1%,La talla corresponde  86%,Grande  13%,0,sTodos los comentarios (1175),mTodos los comentarios (1106),lTodos los comentarios (976),xlTodos los comentarios (633),https://us.shein.com//Tie-Dye-Drop-Shoulder-Oversized-Tee-p-2704351-cat-1738.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
4 piezas Top corto unicolor de canalé,US$18.00,4.9,Todos los comentarios (324),Camisetas y Tops de Tirantes de Mujer,//img.ltwebstatic.com/images3_pi/2021/08/06/1628230462d7e41839555621e7406c5081787d9667_thumbnail_900x.webp,Pequeña  5%,La talla corresponde  95%,Grande  0%,0,sTodos los comentarios (133),mTodos los comentarios (107),lTodos los comentarios (64),xlTodos los comentarios (25),https://us.shein.com//4pcs-Solid-Ribbed-Crop-Top-p-3185621-cat-1779.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
Pantalones deportivos unicolor de cintura elástica con bolsillo oblicuo,US$14.00,4.7,Todos los comentarios (2286),Pantalones de Deporte para Mujer,//img.ltwebstatic.com/images3_pi/2021/08/04/162807432750b234398e1fb79074240a778d65d3e6_thumbnail_900x.webp,Pequeña  4%,La talla corresponde  90%,Grande  6%,xsTodos los comentarios (515),sTodos los comentarios (687),mTodos los comentarios (659),lTodos los comentarios (419),0,https://us.shein.com//Solid-Elastic-Waist-Slant-Pocket-Sweatpants-p-3308015-cat-2990.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
SHEIN Pantalones PU palazzo con cremallera,US$22.00,5.0,Todos los comentarios (9999+),Pantalones de Mujer,//img.ltwebstatic.com/images3_pi/2020/11/13/1605249365e001a9add587b5660e9848c233fddf1a_thumbnail_900x.webp,Pequeña  2%,La talla corresponde  93%,Grande  5%,xsTodos los comentarios (3093),sTodos los comentarios (3026),mTodos los comentarios (2314),lTodos los comentarios (1263),0,https://us.shein.com//SHEIN-Zipper-Fly-Palazzo-PU-Pants-p-1849420-cat-1740.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
SHEIN BASICS Top corto ajustado unicolor,US$6.00,5.0,Todos los comentarios (9999+),Camisetas de Mujer,//img.ltwebstatic.com/images3_pi/2020/09/15/1600150682010c946e061990b1037274d20c1b862a_thumbnail_900x.webp,Pequeña  4%,La talla corresponde  96%,Grande  0%,xsTodos los comentarios (3227),sTodos los comentarios (3763),mTodos los comentarios (1889),lTodos los comentarios (623),xlTodos los comentarios (215),https://us.shein.com//SHEIN-BASICS-Solid-Fitted-Crop-Top-p-1536447-cat-1738.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
Blusa de hombros caídos de color combinado de cuadros,US$20.00,4.8,Todos los comentarios (172),Blusas de Mujer,//img.ltwebstatic.com/images3_pi/2021/07/11/1625996448a9443674044674b2b0a965f7ccd8ca8c_thumbnail_900x.webp,Pequeña  1%,La talla corresponde  87%,Grande  12%,xsTodos los comentarios (0),0,0,0,0,https://us.shein.com//Drop-Shoulder-Color-block-Plaid-Blouse-p-3003392-cat-1733.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
Blusa con costura con diseño transparente de malla,US$6.00,4.6,Todos los comentarios (1482),Blusas de Mujer,//img.ltwebstatic.com/images3_pi/2021/07/06/16255496313586bff6cad5734b860373c310648959_thumbnail_900x.webp,Pequeña  5%,La talla corresponde  95%,Grande  0%,xsTodos los comentarios (337),sTodos los comentarios (497),mTodos los comentarios (386),lTodos los comentarios (253),0,https://us.shein.com//Seam-Detail-Sheer-Mesh-Blouse-p-2906121-cat-1733.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
SHEIN BASICS Camiseta unicolor de cuello alto,US$7.00,5.0,Todos los comentarios (9999+),Camisetas de Mujer,//img.ltwebstatic.com/images3_pi/2020/09/23/1600840697a7f57c018b4b8603ae18767c8e7ba0c8_thumbnail_900x.webp,Pequeña  3%,La talla corresponde  97%,Grande  0%,xsTodos los comentarios (9999+),sTodos los comentarios (3079),mTodos los comentarios (2783),lTodos los comentarios (1419),xlTodos los comentarios (791),https://us.shein.com//SHEIN-BASICS-High-Neck-Solid-Fitted-Tee-p-1515490-cat-1738.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
Camiseta Halloween con estampado de letra,US$11.00,4.9,Todos los comentarios (279),Camisetas de Mujer,//img.ltwebstatic.com/images3_pi/2021/08/16/1629101018f205c048501388041f18d9da6cf64bee_thumbnail_900x.webp,Pequeña  3%,La talla corresponde  89%,Grande  8%,xsTodos los comentarios (19),sTodos los comentarios (52),mTodos los comentarios (87),lTodos los comentarios (68),xlTodos los comentarios (57),https://us.shein.com//Halloween-Letter-Graphic-Tee-p-3286856-cat-1738.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
SHEIN SXY Camiseta con cordón lateral de cuello scoop,US$7.00,4.9,Todos los comentarios (9953),Camisetas de Mujer,//img.ltwebstatic.com/images3_pi/2021/07/16/16264048031121c62e369e7701d6a7ec74a502f2bb_thumbnail_900x.webp,Pequeña  2%,La talla corresponde  97%,Grande  1%,xsTodos los comentarios (1742),sTodos los comentarios (3143),mTodos los comentarios (2910),lTodos los comentarios (2085),0,https://us.shein.com//SHEIN-SXY-Drawstring-Side-Scoop-Neck-Tee-p-3029684-cat-1738.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
Sudaderas Cordón Bolsillo Cremallera Liso Casual,US$14.00,5.0,Todos los comentarios (9999+),Sudaderas de Mujer,//img.ltwebstatic.com/images3_pi/2021/06/07/162306468685a83eef8e5d4ae187b3b2c0504149a9_thumbnail_900x.webp,Pequeña  9%,La talla corresponde  91%,Grande  0%,xsTodos los comentarios (1119),sTodos los comentarios (2262),mTodos los comentarios (2979),lTodos los comentarios (3393),0,https://us.shein.com//Zip-Up-Drop-Shoulder-Drawstring-Hoodie-p-2745922-cat-1773.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
Blusas Liso Casual,US$7.00,5.0,Todos los comentarios (9999+),Blusas de Mujer,//img.ltwebstatic.com/images3_pi/2020/12/08/16074051130bc5953de86335fd70d7b16e5470ea33_thumbnail_900x.webp,Pequeña  1%,La talla corresponde  96%,Grande  3%,xsTodos los comentarios (1905),sTodos los comentarios (2641),mTodos los comentarios (3006),lTodos los comentarios (2367),0,https://us.shein.com//Solid-Rolled-Sleeve-Blouse-p-1932288-cat-1733.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
Top tank de color combinado tejido de canalé,US$7.00,5.0,Todos los comentarios (9999+),Camisetas y Tops de Tirantes de Mujer,//img.ltwebstatic.com/images3_pi/2021/05/21/1621561078eb84102899e3b3b9c05e87c6fb80b7cf_thumbnail_900x.webp,Pequeña  4%,La talla corresponde  96%,Grande  0%,xsTodos los comentarios (2154),sTodos los comentarios (3733),mTodos los comentarios (2741),lTodos los comentarios (1323),0,https://us.shein.com//Stitch-Trim-Rib-knit-Colorblock-Tank-Top-p-2451265-cat-1779.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
Camisa unicolor de puño con fruncido,US$7.00,4.8,Todos los comentarios (4937),Blusas de Mujer,//img.ltwebstatic.com/images3_pi/2021/06/11/1623398413f73d22e8a4c918b1923dcc77d1f6dc73_thumbnail_900x.webp,Pequeña  9%,La talla corresponde  91%,Grande  0%,xsTodos los comentarios (616),sTodos los comentarios (1212),mTodos los comentarios (1546),lTodos los comentarios (1522),0,https://us.shein.com//Ruffle-Cuff-Solid-Blouse-p-2854422-cat-1733.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
Camis Espalda al aire Cinta Liso Sexy,US$6.00,4.6,Todos los comentarios (106),Camisetas y Tops de Tirantes de Mujer,//img.ltwebstatic.com/images3_pi/2021/06/21/162427587226688cf2b68f061446d852c1f4024a05_thumbnail_900x.webp,Pequeña  4%,La talla corresponde  85%,Grande  11%,xsTodos los comentarios (24),sTodos los comentarios (30),mTodos los comentarios (35),lTodos los comentarios (17),0,https://us.shein.com//Knot-Front-Plunging-Neck-Halter-Top-p-2746357-cat-1779.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
Camiseta corta unicolor de un hombro,US$8.00,4.8,Todos los comentarios (1479),Camisetas de Mujer,//img.ltwebstatic.com/images3_pi/2021/06/23/16244122845d5368c5f9795af7444eb1b7dc8db732_thumbnail_900x.webp,Pequeña  3%,La talla corresponde  92%,Grande  5%,xsTodos los comentarios (380),sTodos los comentarios (532),mTodos los comentarios (368),lTodos los comentarios (123),xlTodos los comentarios (56),https://us.shein.com//Solid-One-Shoulder-Crop-Tee-p-2841314-cat-1738.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
SHEIN BASICS Camiseta corta unicolor de cuello alto,US$7.00,5.0,Todos los comentarios (9999+),Camisetas de Mujer,//img.ltwebstatic.com/images3_pi/2020/09/16/1600261521057e2996d122eabd9f8cac97e7056722_thumbnail_900x.webp,Pequeña  3%,La talla corresponde  97%,Grande  0%,xsTodos los comentarios (2071),sTodos los comentarios (3695),mTodos los comentarios (2620),lTodos los comentarios (1062),xlTodos los comentarios (370),https://us.shein.com//SHEIN-BASICS-Mock-Neck-Solid-Crop-Tee-p-1538496-cat-1738.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
SHEIN Pantalones bajo con abertura de cintura elástica,US$11.00,5.0,Todos los comentarios (9999+),Pantalones de Mujer,//img.ltwebstatic.com/images2_pi/2019/09/03/15674979381843542003_thumbnail_900x1199.webp,Pequeña  2%,La talla corresponde  95%,Grande  3%,xsTodos los comentarios (0),0,0,0,0,https://us.shein.com//SHEIN-High-Rise-Vented-Ankle-Cut-Pants-p-833981-cat-1740.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
Blusa unicolor de lunares de manga obispo,US$12.00,4.9,Todos los comentarios (533),Blusas de Mujer,//img.ltwebstatic.com/images3_pi/2021/07/31/1627730308de1686ea9917e3097bdd485321b35ff2_thumbnail_900x.webp,Pequeña  3%,La talla corresponde  95%,Grande  2%,0,sTodos los comentarios (191),mTodos los comentarios (158),lTodos los comentarios (91),xlTodos los comentarios (96),https://us.shein.com//Solid-Swiss-Dot-Bishop-Sleeve-Blouse-p-3055536-cat-1733.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
Top tank corto tejido de canalé unicolor,US$5.00,5.0,Todos los comentarios (9999+),Camisetas y Tops de Tirantes de Mujer,//img.ltwebstatic.com/images3_pi/2021/06/08/1623129110b81633da5c7471f93c16132aaef0c0fb_thumbnail_900x.webp,Pequeña  2%,La talla corresponde  97%,Grande  1%,xsTodos los comentarios (2647),sTodos los comentarios (3797),mTodos los comentarios (2449),lTodos los comentarios (998),0,https://us.shein.com//Solid-Rib-knit-Crop-Tank-Top-p-2675304-cat-1779.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
SHEIN SXY Camiseta corta unicolor de cuello profundo bajo con encaje en contraste,US$8.00,4.8,Todos los comentarios (1829),Camisetas de Mujer,//img.ltwebstatic.com/images3_pi/2021/07/27/1627364562715ff4f5c8c23d2802415b58ba6a3cc2_thumbnail_900x.webp,Pequeña  6%,La talla corresponde  93%,Grande  1%,xsTodos los comentarios (417),sTodos los comentarios (468),mTodos los comentarios (538),lTodos los comentarios (395),0,https://us.shein.com//SHEIN-SXY-Solid-Plunging-Neck-Contrast-Lace-Hem-Crop-Tee-p-2940865-cat-1738.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
Capucha con estampado de slogan de hombros caídos con cordón,US$14.00,4.8,Todos los comentarios (4428),Sudaderas de Mujer,//img.ltwebstatic.com/images3_pi/2021/07/21/1626865796cc07c2b75465561338af802200bf5f15_thumbnail_900x.webp,Pequeña  3%,La talla corresponde  88%,Grande  9%,xsTodos los comentarios (726),sTodos los comentarios (1431),mTodos los comentarios (1271),lTodos los comentarios (969),0,https://us.shein.com//Slogan-Graphic-Drop-Shoulder-Drawstring-Hoodie-p-3054925-cat-1773.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
SHEIN Top tank corto unicolor,US$6.00,5.0,Todos los comentarios (9999+),Camisetas y Tops de Tirantes de Mujer,//img.ltwebstatic.com/images3_pi/2021/03/11/1615437833882b082c7ecf9063adef3b681a8527d0_thumbnail_900x.webp,Pequeña  2%,La talla corresponde  97%,Grande  1%,xsTodos los comentarios (2209),sTodos los comentarios (3449),mTodos los comentarios (2585),lTodos los comentarios (1020),xlTodos los comentarios (497),https://us.shein.com//SHEIN-Solid-Crop-Tank-Top-p-2220914-cat-1779.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
Top corto de tirantes con encaje unicolor,US$8.00,4.8,Todos los comentarios (4670),Camisetas y Tops de Tirantes de Mujer,//img.ltwebstatic.com/images3_pi/2021/06/21/1624276301c32e385c4b4b7fbb3b0a432a6ba3e6af_thumbnail_900x.webp,Pequeña  5%,La talla corresponde  95%,Grande  0%,0,sTodos los comentarios (3003),mTodos los comentarios (1074),lTodos los comentarios (551),0,https://us.shein.com//Lace-Cami-Top-p-2714481-cat-1779.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
DAZY Vaqueros de pierna ancha de cintura alta,US$18.00,5.0,Todos los comentarios (9999+),Pantalones Vaqueros para Mujer,//img.ltwebstatic.com/images3_pi/2021/05/27/16220920722d0c2004cb95e35ebd7eb41143efb6c1_thumbnail_900x.webp,Pequeña  5%,La talla corresponde  91%,Grande  4%,0,sTodos los comentarios (3860),mTodos los comentarios (3223),lTodos los comentarios (1609),xlTodos los comentarios (974),https://us.shein.com//DAZY-High-Waisted-Wide-Leg-Jeans-p-2614177-cat-1934.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
Camis Anilla Gráfico Sexy,US$7.00,4.7,Todos los comentarios (4955),Camisetas y Tops de Tirantes de Mujer,//img.ltwebstatic.com/images3_pi/2021/05/24/1621822538204a848e55125bc05b17fc8066d97dcc_thumbnail_900x.webp,Pequeña  2%,La talla corresponde  79%,Grande  19%,xsTodos los comentarios (1818),sTodos los comentarios (1793),mTodos los comentarios (1793),lTodos los comentarios (366),0,https://us.shein.com//Low-Back-Ring-Detail-Halter-Top-p-2513824-cat-1779.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
Top de tirantes corto con encaje,US$9.00,4.8,Todos los comentarios (306),Camisetas y Tops de Tirantes de Mujer,//img.ltwebstatic.com/images3_pi/2021/07/06/16255552969563f4bd770bf0a1cf673635bc5994b9_thumbnail_900x.webp,Pequeña  12%,La talla corresponde  88%,Grande  0%,xsTodos los comentarios (59),sTodos los comentarios (98),mTodos los comentarios (87),lTodos los comentarios (64),0,https://us.shein.com//Guipure-Lace-Crop-Cami-Top-p-2745193-cat-1779.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
Chaqueta corta con bolsillo con botón delantero,US$21.00,5.0,Todos los comentarios (9999+),Cazadoras para Mujer,//img.ltwebstatic.com/images3_pi/2020/09/08/15995739215a063af16fc4e9232214873c07560a6b_thumbnail_900x.webp,Pequeña  2%,La talla corresponde  96%,Grande  2%,xsTodos los comentarios (1623),sTodos los comentarios (3623),mTodos los comentarios (3042),lTodos los comentarios (3042),0,https://us.shein.com//Button-Front-Patch-Pocket-Crop-Jacket-p-1449138-cat-1776.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
SHEIN Camis Canalé Liso Sexy,US$5.00,4.9,Todos los comentarios (3560),Camisetas y Tops de Tirantes de Mujer,//img.ltwebstatic.com/images3_pi/2021/05/20/162147287656b9e25041c87e56734df1494f4c45cf_thumbnail_900x.webp,Pequeña  3%,La talla corresponde  96%,Grande  1%,xsTodos los comentarios (790),sTodos los comentarios (1279),mTodos los comentarios (994),lTodos los comentarios (469),0,https://us.shein.com//SHEIN-Rib-knit-Solid-Crop-Cami-Top-p-2589046-cat-1779.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
Top corto de tirantes delgado unicolor,US$5.00,5.0,Todos los comentarios (9999+),Camisetas y Tops de Tirantes de Mujer,//img.ltwebstatic.com/images3_pi/2021/01/11/1610340564239b4b07c6e611cd9156fb64ac634cb8_thumbnail_900x.webp,Pequeña  5%,La talla corresponde  95%,Grande  0%,xsTodos los comentarios (2601),sTodos los comentarios (3544),mTodos los comentarios (2393),lTodos los comentarios (1092),0,https://us.shein.com//Solid-Slim-Cami-Crop-Top-p-2012157-cat-1779.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
Top corto con abertura con cordón de espalda abierta,US$7.00,4.6,Todos los comentarios (238),Camisetas y Tops de Tirantes de Mujer,//img.ltwebstatic.com/images3_pi/2021/08/13/1628852052550104b7bbc03a9486819e089f9feb91_thumbnail_900x.webp,Pequeña  2%,La talla corresponde  80%,Grande  18%,xsTodos los comentarios (81),sTodos los comentarios (81),mTodos los comentarios (81),lTodos los comentarios (22),0,https://us.shein.com//Cutout-Tied-Backless-Halter-Crop-Top-p-3313325-cat-1779.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
Cárdigan con parte delantera abierta con parche de bolsillo,US$18.00,4.8,Todos los comentarios (589),Cárdigans de Mujer,//img.ltwebstatic.com/images3_pi/2021/08/07/1628314679f952693cb631e996828817c3ab487584_thumbnail_900x.webp,Pequeña  2%,La talla corresponde  97%,Grande  1%,0,sTodos los comentarios (265),mTodos los comentarios (220),lTodos los comentarios (105),0,https://us.shein.com//Open-Front-Patch-Pocket-Cardigan-p-2865370-cat-2219.html?scici=navbar_WomenHomePage~~tab01navbar04~~4~~webLink~~~~0
